Month,articleID,abstract,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,Month,source,typeOfMaterial,webURL,articleWordCount
Jan-17,586b037e95d0e03926078af5,,By THE EDITORIAL BOARD,article,"Mr. Trump, Bureaucracy Apprentice","['Government Employees', 'United States Politics and Government', 'Federal Taxes (US)', 'Labor and Jobs', 'Trump, Donald J']",1,Editorial,22,1/3/17 1:50,Jan-17,The New York Times,Editorial,https://www.nytimes.com/2017/01/02/opinion/donald-trump-bureaucracy-apprentice.html,677
Jan-17,586b0a7495d0e03926078b03,,By ERIC LIPTON,article,House G.O.P. Votes to Gut an Office Reviewing Ethics,"['House of Representatives', 'House Committee on Ethics', 'Office of Congressional Ethics', 'Goodlatte, Robert W', 'Ethics and Official Misconduct', 'Republican Party']",1,National,1,1/3/17 2:20,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html,1152
Jan-17,586b0ba995d0e03926078b05,,By ALISSA J. RUBIN,article,‘Right to Disconnect’ From Work Email and Other Laws Go Into Effect in France,"['France', 'Work-Life Balance', 'E-Mail', 'Law and Legislation', 'Plastic Bags', 'Pesticides', 'Smoking and Tobacco', 'Divorce, Separations and Annulments']",0,Foreign,6,1/3/17 2:25,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/02/world/europe/france-work-email.html,797
Jan-17,586b10be95d0e03926078b11,,"By EZRA LEVIN, LEAH GREENBERG and ANGEL PADILLA",article,Lessons From the Tea Party,"['Tea Party Movement', 'Democratic Party', 'House of Representatives', 'Senate', 'Republican Party', 'McConnell, Mitch', 'Schumer, Charles E', 'Trump, Donald J', 'United States Politics and Government', 'United States']",1,OpEd,23,1/3/17 2:47,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/02/opinion/to-stop-trump-democrats-can-learn-from-the-tea-party.html,875
Jan-17,586b13b995d0e03926078b13,,By CAITLIN LOVINGER,article,All Talk,['Crossword Puzzles'],1,Games,0,1/3/17 3:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/02/crosswords/all-talk.html,638
Jan-17,586b53e095d0e03926078b52,,By GERRY MULLANY,article,Unknown,"['Air Pollution', 'Beijing (China)', 'Video Recordings, Downloads and Streaming']",1,Foreign,0,1/3/17 7:33,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/world/asia/beijing-smog-video.html,346
Jan-17,586b5a8195d0e03926078b5b,,By KATHERINE SCHULTEN,article,Winter Comforts,[],1,Learning,0,1/3/17 8:02,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/learning/winter-comforts.html,108
Jan-17,586b5ef495d0e03926078b68,,By DAVID BROOKS,article,The Snapchat Presidency,"['Trump, Donald J', 'United States Politics and Government', 'Social Media']",1,OpEd,23,1/3/17 8:21,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/03/opinion/the-snapchat-presidency-of-donald-trump.html,805
Jan-17,586b689c95d0e03926078b75,"After losing three limbs in Afghanistan, a Marine Corps veteran and his wife went through the process of in vitro fertilization treatments to have children.",By JAMES ESTRIN,blogpost,Unknown,"['Bitzer, Kirsten', 'Colorado', 'United States Marine Corps', 'Veterans Affairs Department', 'In Vitro Fertilization', 'Infertility', 'Photography', 'Pregnancy and Childbirth', 'Veterans']",1,Unknown,0,1/3/17 9:02,Jan-17,The New York Times,Blog,https://lens.blogs.nytimes.com/2017/01/03/a-love-story-and-twins-for-a-combat-veteran-amputee/,769
Jan-17,586b763095d0e03926078b91,,By JON MOOALLEM,article,The House at the End of the World,"['Death and Dying', 'Miller, BJ (1971- )', 'Zen Hospice Project']",1,Magazine,39,1/3/17 10:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/magazine/one-mans-quest-to-change-the-way-we-die.html,8022
